ts_code,name,fullname,enname,cn_spell,market,list_status,list_date,delist_date,trade_unit,isin,curr_type
03938.HK,LFG投资控股,LFG投资控股有限公司,LFG Investment Holdings Limited,LFGTZKG,主板,L,20190930,,2000.0,KYG5471A1094,HKD
03939.HK,万国国际矿业,万国国际矿业集团有限公司,Wanguo International Mining Group Limited,WGGJKY,主板,L,20120710,,2000.0,KYG9430L1077,HKD
03948.HK,伊泰煤炭,内蒙古伊泰煤炭股份有限公司,"Inner Mongolia Yitai Coal Co.,Ltd.",YTMT,主板,L,20120712,,100.0,CNE100001FW6,HKD
03958.HK,东方证券,东方证券股份有限公司,DFZQ,DFZQ,主板,L,20160708,,400.0,CNE1000027F2,HKD
03963.HK,融众金融,中国融众金融控股有限公司,China Rongzhong Financial Holdings Company Limited,RZJR,主板,L,20160128,,1000.0,KYG2119M1087,HKD
03966.HK,中国宝丰国际,中国宝丰(国际)有限公司,China Baofeng (International) Limited,ZGBFGJ,主板,L,20150805,,2000.0,KYG2119C1006,HKD
03968.HK,招商银行,招商银行股份有限公司,"China Merchants Bank Co.,Ltd",ZSYH,主板,L,20060922,,500.0,CNE1000002M1,HKD
03969.HK,中国通号,中国铁路通信信号股份有限公司,China Railway Signal & Communication Corporation Limited,ZGTH,主板,L,20150807,,1000.0,CNE1000021L3,HKD
03978.HK,卓越教育集团,卓越教育集团,China Beststudy Education Group,ZYJYJT,主板,L,20181227,,1000.0,KYG2121W1024,HKD
03983.HK,中海石油化学,中海石油化学股份有限公司,China BlueChemical ltd.,ZHSYHX,主板,L,20060929,,2000.0,CNE1000002D0,HKD
03988.HK,中国银行,中国银行股份有限公司,Bank of China Ltd.,ZGYH,主板,L,20060601,,1000.0,CNE1000001Z5,HKD
03989.HK,首创环境,首创环境控股有限公司,Capital Environment Holdings Limited,SCHJ,主板,L,20060713,,2000.0,KYG1941T1094,HKD
03990.HK,美的置业,美的置业控股有限公司,Midea Real Estate Holding Limited,MDZY,主板,L,20181011,,200.0,KYG609201085,HKD
03992.HK,创毅控股,创毅控股有限公司,Creative Enterprise Holdings Limited,CYKG,主板,L,20181211,,2000.0,KYG251801034,HKD
03993.HK,洛阳钼业,洛阳栾川钼业集团股份有限公司,"China Molybdenum Co., Ltd.",LYMY,主板,L,20070426,,3000.0,CNE100000114,HKD
03996.HK,中国能源建设,中国能源建设股份有限公司,China Energy Engineering Corporation Ltd.,ZGNYJS,主板,L,20151210,,2000.0,CNE1000023C8,HKD
03997.HK,电讯首科,电讯首科控股有限公司,Telecom Service One Holdings Limited,DXSK,主板,L,20180327,,2000.0,KYG873111093,HKD
03998.HK,波司登,波司登国际控股有限公司,Bosideng International Holdings Ltd.,BSD,主板,L,20071011,,2000.0,KYG126521064,HKD
03999.HK,大成食品,大成食品(亚洲)有限公司,DaChan Food (Asia) Limited,DCSP,主板,L,20071004,,1000.0,KYG261441086,HKD
06030.HK,中信证券,中信证券股份有限公司,CITIC Securities Company Limited,ZXZQ,主板,L,20111006,,500.0,CNE1000016V2,HKD
06033.HK,电讯数码控股,电讯数码控股有限公司,Telecom Digital Holdings Limited,DXSMKG,主板,L,20170510,,1000.0,KYG8741M1197,HKD
06036.HK,光丽科技,光丽科技控股有限公司,Apex Ace Holding Limited,GLKJ,主板,L,20180316,,5000.0,KYG047181055,HKD
06038.HK,信越控股,信越控股有限公司,G & M Holdings Limited,XYKG,主板,L,20170613,,10000.0,KYG345141025,HKD
06049.HK,保利物业,保利物业发展股份有限公司,"Poly Property Development Co., Ltd.",BLWY,主板,L,20191219,,200.0,CNE100003PV3,HKD
06055.HK,中烟香港,中烟国际(香港)有限公司,China Tobacco International (HK) Company Limited,ZYXG,主板,L,20190612,,1000.0,HK0000503208,HKD
06058.HK,兴证国际,兴证国际金融集团有限公司,China Industrial Securities International Financial,XZGJ,主板,L,20190103,,2000.0,KYG212101029,HKD
06060.HK,众安在线,众安在线财产保险股份有限公司,"Zhongan Online P&C Insurance Co., Ltd.",ZAZX,主板,L,20170928,,100.0,CNE100002QY7,HKD
06066.HK,中信建投证券,中信建投证券股份有限公司,"China Securities Finance Co., Ltd.",ZXJTZQ,主板,L,20161209,,500.0,CNE100002B89,HKD
06068.HK,睿见教育,睿见教育国际控股有限公司,Wisdom Education International Holdings Company Limited,RJJY,主板,L,20170126,,2000.0,KYG972281037,HKD
06069.HK,盛业资本,盛业资本有限公司,Sheng Ye Capital Limited,SYZB,主板,L,20191024,,2000.0,KYG8116R1074,HKD
06080.HK,荣智控股,荣智控股有限公司,Wing Chi Holdings Limited,RZKG,主板,L,20171020,,6000.0,KYG970471077,HKD
06083.HK,环宇物流(亚洲),环宇物流(亚洲)控股有限公司,World-Link Logistics (Asia) Holding Ltd.,HYWLYZ,主板,L,20171115,,4000.0,,HKD
06088.HK,FIT HON TENG,鸿腾六零八八精密科技股份有限公司,FIT Hon Teng Limited,FITHONTENG,主板,L,20170713,,1000.0,KYG3R83K1037,HKD
06090.HK,胜捷企业,胜捷企业有限公司,Centurion Corporation Limited,SJQY,主板,L,20171212,,1000.0,SG2D51973063,HKD
06093.HK,和泓服务,和泓服务集团有限公司,Hevol Services Group Co. Limited,HHFW,主板,L,20190712,,2000.0,KYG4420L1005,HKD
06098.HK,碧桂园服务,碧桂园服务控股有限公司,Country Garden Services Holdings Company Limited,BGYFW,主板,L,20180619,,1000.0,KYG2453A1085,HKD
06099.HK,招商证券,招商证券股份有限公司,"China Merchants Securities Co.,Ltd.",ZSZQ,主板,L,20161007,,200.0,CNE1000029Z6,HKD
06100.HK,有才天下猎聘,有才天下信息技术有限公司,"Wise Talent Information Technology Co., Ltd",YCTXLP,主板,L,20180629,,200.0,KYG9722R1011,HKD
06108.HK,新锐医药,新锐医药国际控股有限公司,New Ray Medicine International Holding Limited,XRYY,主板,L,20150616,,8000.0,BMG647461117,HKD
06110.HK,滔搏,滔搏国际控股有限公司,Topsports International Holdings Limited,TB,主板,L,20191010,,1000.0,KYG8924B1041,HKD
06111.HK,大发地产,大发地产集团有限公司,DaFa Properties Group Limited,DFDC,主板,L,20181011,,1000.0,KYG261681079,HKD
06113.HK,UTS MARKETING,UTS Marketing Solutions Holdings Limited,UTS Marketing Solutions Holdings Limited,UTSMARKETI,主板,L,20170712,,2000.0,KYG9350R1002,HKD
06116.HK,拉夏贝尔,上海拉夏贝尔服饰股份有限公司,"Shanghai La Chapelle Fashion Co., Ltd.",LXBE,主板,L,20141009,,200.0,CNE100001SY5,HKD
06117.HK,日照港裕廊,日照港裕廊股份有限公司,"Rizhao Port Jurong Co.,Ltd.",RZGYL,主板,L,20190619,,2000.0,CNE100003KK7,HKD
06118.HK,奥星生命科技,奥星生命科技有限公司,Austar Lifesciences Limited,AXSMKJ,主板,L,20141107,,1000.0,KYG0632L1023,HKD
06119.HK,天源集团,天源集团控股有限公司,Tian Yuan Group Holdings Limited,TYJT,主板,L,20180601,,3000.0,KYG888051094,HKD
06122.HK,九台农商银行,吉林九台农村商业银行股份有限公司,Jilin Jiutai Rural Commercial Bank Corporation Limited,JTNSYH,主板,L,20170112,,1000.0,CNE100002BG6,HKD
06123.HK,圆通速递国际,圆通速递(国际)控股有限公司,YTO Express (International) Holdings Limited,YTSDGJ,主板,L,20140711,,2000.0,KYG9877D1051,HKD
