ts_code,name,fullname,enname,cn_spell,market,list_status,list_date,delist_date,trade_unit,isin,curr_type
00001.HK,长和,长江和记实业有限公司,CK Hutchison Holdings Ltd.,CH,主板,L,19721101,,500.0,KYG217651051,HKD
00002.HK,中电控股,中电控股有限公司,CLP Holdings Limited,ZDKG,主板,L,19210101,,500.0,HK0002007356,HKD
00003.HK,香港中华煤气,香港中华煤气有限公司,Hong Kong And China Gas Company Limited,XGZHMQ,主板,L,19600411,,1000.0,HK0003000038,HKD
00004.HK,九龙仓集团,九龙仓集团有限公司,The Wharf (Holdings) Limited,JLCJT,主板,L,19210101,,1000.0,HK0004000045,HKD
00005.HK,汇丰控股,汇丰控股有限公司,HSBC Holdings plc,HFKG,主板,L,19210101,,400.0,GB0005405286,HKD
00006.HK,电能实业,电能实业有限公司,Power Assets Holdings Limited,DNSY,主板,L,19760816,,500.0,HK0006000050,HKD
00007.HK,香港金融集团,香港金融投资控股集团有限公司,Hong Kong Finance Investment Holding Group Limited,XGJRJT,主板,L,20000908,,2000.0,BMG4643R1088,HKD
00008.HK,电讯盈科,电讯盈科有限公司,PCCW Limited,DXYK,主板,L,19941018,,1000.0,HK0008011667,HKD
00009.HK,九号运通,九号运通有限公司,Nine Express Limited,JHYT,主板,L,20010912,,6000.0,BMG6547Y1057,HKD
00010.HK,恒隆集团,恒隆集团有限公司,Hang Lung Group Ltd.,HLJT,主板,L,19721012,,1000.0,HK0010000088,HKD
00011.HK,恒生银行,恒生银行有限公司,Hang Seng Bank Limited,HSYH,主板,L,19720620,,100.0,HK0011000095,HKD
00012.HK,恒基地产,恒基兆业地产有限公司,Henderson Land Development Company Limited,HJDC,主板,L,19810723,,1000.0,HK0012000102,HKD
00014.HK,希慎兴业,希慎兴业有限公司,Hysan Development Company Limited,XSXY,主板,L,19810918,,1000.0,HK0014000126,HKD
00015.HK,盈信控股,盈信控股有限公司,Vantage International (Holdings) Limited,YXKG,主板,L,20000908,,2000.0,BMG932121434,HKD
00016.HK,新鸿基地产,新鸿基地产发展有限公司,Sun Hung Kai Properties Limited,XHJDC,主板,L,19720908,,500.0,HK0016000132,HKD
00017.HK,新世界发展,新世界发展有限公司,New World Development Company Limited,XSJFZ,主板,L,19721123,,1000.0,HK0017000149,HKD
00018.HK,东方报业集团,东方报业集团有限公司,Oriental Press Group Ltd,DFBYJT,主板,L,19870818,,2000.0,HK0018000155,HKD
00019.HK,太古股份公司A,太古股份有限公司A,Swire Pacific Limited A,TGGFGSA,主板,L,19590414,,500.0,HK0019000162,HKD
00020.HK,会德丰,会德丰有限公司,Wheelock And Company Limited,HDF,主板,L,19830103,,1000.0,HK0020000177,HKD
00021.HK,大中华地产控股,大中华地产控股有限公司,Great China Properties Holdings Limited,DZHDCKG,主板,L,19540301,,5000.0,HK0000132420,HKD
00022.HK,茂盛控股,茂盛控股有限公司,Mexan Limited,MSKG,主板,L,19721214,,40000.0,BMG6051D1175,HKD
00023.HK,东亚银行,东亚银行有限公司,The Bank Of East Asia Limited,DYYH,主板,L,19210101,,200.0,HK0023000190,HKD
00024.HK,宝威控股,宝威控股有限公司,Burwill Holdings Limited,BWKG,主板,L,19830915,,2000.0,BMG1808K1009,HKD
00025.HK,CHEVALIER INT'L,其士国际集团有限公司,Chevalier International Holdings Limited,CHEVALIERI,主板,L,19841205,,2000.0,BMG2097Z1471,HKD
00026.HK,中华汽车,中华汽车有限公司,China Motor Bus Company Limited,ZHQC,主板,L,19620101,,200.0,HK0026000205,HKD
00027.HK,银河娱乐,银河娱乐集团有限公司,Galaxy Entertainment Group Limited,YHYL,主板,L,19911007,,1000.0,HK0027032686,HKD
00028.HK,天安,天安中国投资有限公司,Tian An China Investments Company Limited,TA,主板,L,19870318,,1000.0,HK0028013271,HKD
00029.HK,达力集团,达力集团有限公司,Dynamic Holdings Limited,DLJT,主板,L,19730125,,2000.0,BMG2889K1678,HKD
00030.HK,万隆控股集团,万隆控股集团有限公司,Ban Loong Holdings Ltd.,WLKGJT,主板,L,19911009,,2000.0,BMG0865U1009,HKD
00031.HK,航天控股,中国航天国际控股有限公司,China Aerospace International Holdings Limited,HTKG,主板,L,19810825,,2000.0,HK0031044180,HKD
00032.HK,港通控股,港通控股有限公司,The Cross-Harbour(Holdings) Limited,GTKG,主板,L,19740730,,1000.0,HK0032009356,HKD
00033.HK,云铜股份,中国云铜股份有限公司,China Cloud Copper Company Limited,YTGF,主板,L,20071119,,6000.0,KYG0541D1007,HKD
00034.HK,九龙建业,九龙建业有限公司,Kowloon Development Company Limited,JLJY,主板,L,19950704,,1000.0,HK0034000254,HKD
00035.HK,远东发展,远东发展有限公司,Far East Consortium International Limited,YDFZ,主板,L,19720921,,1000.0,KYG3307Z1090,HKD
00036.HK,远东控股国际,远东控股国际有限公司,Far East Holdings International Limited,YDKGGJ,主板,L,19730212,,3000.0,HK0036029863,HKD
00037.HK,远东酒店实业,远东酒店实业有限公司,Far East Hotels And Entertainment Limited,YDJDSY,主板,L,19790703,,2000.0,HK0037039283,HKD
00038.HK,第一拖拉机股份,第一拖拉机股份有限公司,First Tractor Company Limited,DYTLJGF,主板,L,19970623,,2000.0,CNE100000320,HKD
00039.HK,中国北大荒,中国北大荒产业集团控股有限公司,China Beidahuang Industry Group Holdings Limited,ZGBDH,主板,L,20010116,,8000.0,KYG2117W1087,HKD
00040.HK,金山工业,金山工业(集团)有限公司,Gold Peak Industries(Holdings)Limited,JSGY,主板,L,19840702,,1000.0,HK0040000298,HKD
00041.HK,鹰君,鹰君集团有限公司,Great Eagle Holdings Limited,YJ,主板,L,19721026,,1000.0,BMG4069C1486,HKD
00042.HK,东北电气,东北电气发展股份有限公司,Northeast Electrical Transmission &Transformation Machinery Manufacturing Company Limited,DBDQ,主板,L,19950706,,2000.0,CNE1000003V0,HKD
00043.HK,卜蜂国际,卜蜂国际有限公司,C.P.Pokphand Co.Ltd,BFGJ,主板,L,19880428,,2000.0,BMG715071343,HKD
00045.HK,大酒店,香港上海大酒店有限公司,"Hongkong and Shanghai Hotels, Ltd., The",DJD,主板,L,19210101,,500.0,HK0045000319,HKD
00046.HK,科联系统,科联系统集团有限公司,Computer And Technologies Holdings Ltd.,KLXT,主板,L,19980518,,2000.0,BMG2335C1082,HKD
00047.HK,合兴集团,合兴集团控股有限公司,Hop Hing Group Holdings Limited,HXJT,主板,L,19881116,,4000.0,KYG463AM1037,HKD
00048.HK,中国汽车内饰,中国汽车内饰集团有限公司,China Automotive Interior Decoration Holdings Limited,ZGQCNS,主板,L,20140825,,10000.0,KYG211351195,HKD
00050.HK,香港小轮(集团),香港小轮(集团)有限公司,Hong Kong Ferry (Holdings) Co. Ltd.,XGXLJT,主板,L,19210101,,1000.0,HK0050000345,HKD
00051.HK,海港企业,海港企业有限公司,Harbour Centre Development Ltd.,HGQY,主板,L,19710215,,1000.0,HK0051000351,HKD
00052.HK,FAIRWOOD HOLD,大快活集团有限公司,Fairwood Holdings Ltd.,FAIRWOODHO,主板,L,19911009,,500.0,BMG3305Y1619,HKD
00053.HK,国浩集团,国浩集团有限公司,Guoco Group Limited,GHJT,主板,L,19830503,,1000.0,BMG420981224,HKD
00055.HK,中星集团控股,中星集团控股有限公司,Neway Group Holdings Limited,ZXJTKG,主板,L,19920910,,10000.0,BMG6433R1319,HKD
00056.HK,联合地产(香港),联合地产(香港)有限公司,Allied Properties (HK) Ltd.,LHDCXK,主板,L,19810108,,2000.0,HK0056039545,HKD
00057.HK,震雄集团,震雄集团有限公司,Chen Hsong Holdings Limited,ZXJT,主板,L,19911022,,2000.0,BMG208741063,HKD
00058.HK,新威国际,新威国际控股有限公司,Sunway International Holdings Limited,XWGJ,主板,L,19990903,,20000.0,BMG858331124,HKD
00059.HK,天誉置业,天誉置业(控股)有限公司,Skyfame Realty(Holdings) Limited,TYZY,主板,L,19931116,,2000.0,BMG8220B1476,HKD
00060.HK,香港食品投资,香港食品投资控股有限公司,Hong Kong Food Investment Holdings Ltd.,XGSPTZ,主板,L,19921216,,2000.0,HK0060028229,HKD
00061.HK,绿领控股,绿领控股集团有限公司,Green Leader Holdings Group Limited,LLKG,主板,L,19990706,,10000.0,BMG6620C1293,HKD
00062.HK,载通,载通国际控股有限公司,Transport International Holdings Ltd.,ZT,主板,L,19610501,,400.0,BMG9031M1082,HKD
00063.HK,中国烯谷集团,中国烯谷集团有限公司,China Graphene Group Limited,ZGXGJT,主板,L,19860226,,1000.0,BMG2118C1010,HKD
00064.HK,结好控股,结好控股有限公司,Get Nice Holdings Ltd.,JHKG,主板,L,20020606,,2000.0,KYG3926K1031,HKD
00065.HK,弘海高新资源,弘海高新资源有限公司,Grand Ocean Advanced Resources Group Company Limited,HHGXZY,主板,L,20090622,,4000.0,KYG4065F1037,HKD
00066.HK,港铁公司,香港铁路有限公司,MTR Corporation Limited,GTGS,主板,L,20001005,,500.0,HK0066009694,HKD
00067.HK,旭光高新材料,中国旭光高新材料集团有限公司,China Lumena New Materials Corp.,XGGXCL,主板,L,20090616,,2000.0,KYG2160B1005,HKD
00068.HK,利兴发展,利兴发展有限公司,Lee Hing Development Ltd.,LXFZ,主板,L,19721109,,1000.0,HK0068000436,HKD
00069.HK,香格里拉(亚洲),香格里拉(亚洲)有限公司,Shangri-La Asia Limited,XGLLYZ,主板,L,19930617,,2000.0,BMG8063F1068,HKD
00070.HK,金粤控股,金粤控股有限公司,Rich Goldman Holdings Limited,JYKG,主板,L,19980701,,10000.0,HK0000295763,HKD
00071.HK,美丽华酒店,美丽华酒店企业有限公司,"Miramar Hotel & Investment Co.,Ltd",MLHJD,主板,L,19700725,,1000.0,HK0071000456,HKD
00072.HK,现代传播,现代传播控股有限公司,Modern Media Holdings Limited,XDCB,主板,L,20090909,,2000.0,KYG618251089,HKD
00073.HK,亚洲果业,亚洲果业控股有限公司,Asian Citrus Holdings Limited,YZGY,主板,L,20091126,,1000.0,BMG0620W2019,HKD
00075.HK,渝太地产,渝太地产集团有限公司,Y. T. Realty Group Ltd.,YTDC,主板,L,19841112,,2000.0,BMG987731079,HKD
00076.HK,谊砾控股,谊砾控股有限公司,Elate Holdings Limited,YLKG,主板,L,19840924,,4000.0,HK0000219144,HKD
00077.HK,进智公共交通,进智公共交通控股有限公司,AMS Public Transport Holdings Ltd.,JZGGJT,主板,L,20040415,,2000.0,KYG041561088,HKD
00078.HK,REGAL INT'L,富豪酒店国际控股有限公司,Regal Hotels Internatlonal Holdings Limited,REGALINT'L,主板,L,19801103,,2000.0,BMG7475M1626,HKD
00079.HK,世纪建业,世纪建业(集团)有限公司,Century Legend (Holdings) Ltd.,SJJY,主板,L,19930708,,4000.0,BMG2021N1609,HKD
00080.HK,中国新经济投资,中国新经济投资有限公司,China New Economy Fund Limited,ZGXJJTZ,主板,L,20110106,,20000.0,KYG211971273,HKD
00081.HK,中国海外宏洋集团,中国海外宏洋集团有限公司,China Overseas Grand Oceans Group Limited,ZGHWHYJT,主板,L,19840426,,1000.0,HK0000065737,HKD
00082.HK,第一视频,第一视频集团有限公司,V1 Group Limited,DYSP,主板,L,19911025,,2000.0,BMG9310X1065,HKD
00083.HK,信和置业,信和置业有限公司,Sino Land Co. Ltd.,XHZY,主板,L,19810408,,2000.0,HK0083000502,HKD
00084.HK,宝光实业,宝光实业(国际)有限公司,Stelux Holdings International Limited,BGSY,主板,L,19721002,,1000.0,BMG8465C1073,HKD
00085.HK,中电华大科技,中国电子华大科技有限公司,China Electronics Huada Technology Company Limited,ZDHDKJ,主板,L,19970725,,2000.0,BMG2122L1054,HKD
00086.HK,新鸿基公司,新鸿基有限公司,Sun Hung Kai & Co. Limited,XHJGS,主板,L,19831003,,1000.0,HK0086000525,HKD
00087.HK,太古股份公司B,太古股份有限公司B,Swire Pacific Limited B,TGGFGSB,主板,L,19730501,,2500.0,HK0087000532,HKD
00088.HK,TAI CHEUNG HOLD,大昌集团有限公司,Tai Cheung Holdings Ltd.,TAICHEUNGH,主板,L,19721211,,1000.0,BMG8659B1054,HKD
00089.HK,大生地产,大生地产发展有限公司,Tai Sang Land Development Ltd.,DSDC,主板,L,19730221,,1000.0,HK0089000548,HKD
00090.HK,普星洁能,普星洁能有限公司,Puxing Clean Energy Limited,PXJN,主板,L,20090710,,2000.0,KYG730761049,HKD
00091.HK,标准资源控股,标准资源控股有限公司,International Standard Resources Holdings Limited,BZZYKG,主板,L,19810629,,10000.0,HK0000434156,HKD
00092.HK,冠军科技集团,冠军科技集团有限公司,Champion Technology Holdings Limited,GJKJJT,主板,L,19920819,,6000.0,BMG2033C2853,HKD
00093.HK,TERMBRAY IND,添利工业国际(集团)有限公司,Termbray Industries International (Holdings) Ltd.,TERMBRAYIN,主板,L,19911023,,2000.0,BMG8760C1414,HKD
00094.HK,绿心集团,绿心集团有限公司,Greenheart Group Limited,LXJT,主板,L,19880621,,2000.0,BMG4094L1054,HKD
00095.HK,绿景中国地产,绿景(中国)地产投资有限公司,LVGEM (China) Real Estate Investment Company Limited,LJZGDC,主板,L,20051202,,2000.0,KYG5727E1035,HKD
00096.HK,YUSEI,友成控股有限公司,Yusei Holdings Ltd.,YUSEI,主板,L,20101215,,2000.0,KYG9883K1013,HKD
00097.HK,恒基发展,恒基兆业发展有限公司,Henderson Investment Ltd.,HJFZ,主板,L,19721106,,1000.0,HK0097000571,HKD
00098.HK,兴发铝业,兴发铝业控股有限公司,Xingfa Aluminium Holdings Ltd.,XFLY,主板,L,20080331,,1000.0,KYG9828C1078,HKD
00099.HK,王氏国际,王氏国际集团有限公司,Wong's International Holdings Ltd.,WSGJ,主板,L,19831215,,1000.0,BMG9738G1078,HKD
00100.HK,白马户外媒体,白马户外媒体有限公司,Clear Media Ltd.,BMHWMT,主板,L,20011219,,1000.0,BMG219901094,HKD
00101.HK,恒隆地产,恒隆地产有限公司,Hang Lung Properties Limited,HLDC,主板,L,19540101,,1000.0,HK0101000591,HKD
00102.HK,凯升控股,凯升控股有限公司,Summit Ascent Holdings Limited,KSKG,主板,L,19940110,,2000.0,BMG8565U1302,HKD
00103.HK,首长宝佳,首长宝佳集团有限公司,Shougang Concord Century Holdings Limited,SZBJ,主板,L,19920409,,2000.0,HK0103000607,HKD
00104.HK,ASIA COMM HOLD,冠亚商业集团有限公司,Asia Commercial Holdings Limited,ASIACOMMHO,主板,L,19870729,,5000.0,BMG0532V2009,HKD
00105.HK,凯联国际酒店,凯联国际酒店有限公司,Associated International Hotels Limited,KLGJJD,主板,L,19851024,,2000.0,HK0105000613,HKD
00106.HK,朗诗地产,朗诗绿色地产有限公司,"Landsea Green Properties Co., Ltd.",LSDC,主板,L,19860324,,4000.0,BMG5370A1018,HKD
00107.HK,四川成渝高速公路,四川成渝高速公路股份有限公司,Sichuan Expressway Company Limited,SCCYGSGL,主板,L,19971007,,2000.0,CNE100000494,HKD
00108.HK,国锐地产,国锐地产有限公司,GR Properties Ltd.,GRDC,主板,L,19730209,,2000.0,HK0108000628,HKD
00109.HK,天成国际,天成国际集团控股有限公司,Good Resources Holdings Limited,TCGJ,主板,L,19980112,,10000.0,BMG4094B1072,HKD
00110.HK,中国长远,中国长远控股有限公司,China Fortune Holdings Limited,ZGCY,主板,L,20040126,,2000.0,BMG2154Z1059,HKD
00111.HK,信达国际控股,信达国际控股有限公司,Cinda International Holdings Limited,XDGJKG,主板,L,20000801,,2000.0,BMG2143M1082,HKD
00112.HK,勒泰集团,勒泰集团有限公司,Lerthai Group Limited,LTJT,主板,L,19721206,,2000.0,HK0112012916,HKD
00113.HK,迪生创建,迪生创建(国际)有限公司,Dickson Concepts (International) Limited,DSCJ,主板,L,19730315,,500.0,BMG275871231,HKD
00114.HK,HERALD HOLD,兴利集团有限公司,Herald Holdings Limited,HERALDHOLD,主板,L,19700312,,5000.0,BMG4410A1062,HKD
00115.HK,钧濠集团,钧濠集团有限公司,Grand Field Group Holdings Limited,JHJT,主板,L,19991013,,10000.0,BMG4054H1447,HKD
00116.HK,周生生,周生生集团国际有限公司,Chow Sang Sang Holdings International Ltd.,ZSS,主板,L,19730406,,1000.0,BMG2113M1203,HKD
00117.HK,天利控股集团,天利控股集团有限公司,Tianli Holdings Group Limited,TLKGJT,主板,L,20071221,,2000.0,KYG8884H1092,HKD
00118.HK,大同机械,大同机械企业有限公司,Cosmos Machinery Enterprises Ltd.,DTJX,主板,L,19881212,,2000.0,HK0118000667,HKD
00119.HK,保利置业集团,保利置业集团有限公司,"Poly Property Group Co.,Limited",BLZYJT,主板,L,19730830,,1000.0,HK0119000674,HKD
00120.HK,COSMOPOL INT'L,四海国际集团有限公司,Cosmopolitan International Holdings Ltd.,COSMOPOLIN,主板,L,19700801,,2000.0,KYG2445L1547,HKD
00122.HK,鳄鱼恤,鳄鱼恤有限公司,Crocodile Garments Ltd.,EYX,主板,L,19710901,,1000.0,HK0122000687,HKD
00123.HK,越秀地产,越秀地产股份有限公司,Yuexiu Property Company Limited,YXDC,主板,L,19921215,,2000.0,HK0123000694,HKD
00124.HK,粤海置地,粤海置地控股有限公司,Guangdong Land Holdings Limited,YHZD,主板,L,19970808,,2000.0,BMG4182K1009,HKD
00125.HK,新兴光学,新兴光学集团控股有限公司,Sun Hing Vision Group Holdings Limited,XXGX,主板,L,19990525,,2000.0,BMG8572F1005,HKD
00126.HK,佳宁娜,佳宁娜集团控股有限公司,Carrianna Group Holdings Company Limited,JNN,主板,L,19911101,,2000.0,BMG1993G1042,HKD
00127.HK,华人置业,华人置业集团,Chinese Estates Holdings Limited,HRZY,主板,L,19210101,,500.0,BMG2108M2182,HKD
00128.HK,安宁控股,安宁控股有限公司,ENM Holdings Limited,ANKG,主板,L,19721106,,4000.0,HK0128011282,HKD
00129.HK,泛海集团,泛海国际集团有限公司,Asia Standard International Group Limited,FHJT,主板,L,19730124,,2000.0,BMG0533U2355,HKD
00130.HK,慕诗国际,慕诗国际集团有限公司,Moiselle International Holdings Ltd.,MSGJ,主板,L,20020211,,2000.0,KYG618641073,HKD
00131.HK,卓能(集团),卓能(集团)有限公司,Cheuk Nang (Holdings) Ltd.,ZNJT,主板,L,19880815,,1000.0,HK0131037993,HKD
00132.HK,中国兴业控股,中国兴业控股有限公司,China Investments Holdings Limited,ZGXYKG,主板,L,19730518,,1000.0,BMG210751092,HKD
00133.HK,招商局中国基金,招商局中国基金有限公司,China Merchants China Direct Investments Ltd.,ZSJZGJJ,主板,L,19930722,,2000.0,HK0133000726,HKD
00135.HK,昆仑能源,昆仑能源有限公司,Kunlun Energy Company Limited,KLNY,主板,L,19730313,,2000.0,BMG5320C1082,HKD
00136.HK,恒腾网络,恒腾网络集团有限公司,HengTen Networks Group Limited,HTWL,主板,L,19970925,,4000.0,BMG4404N1065,HKD
00137.HK,金辉集团,金辉集团有限公司,Jinhui Holdings Company Limited,JHJT,主板,L,19911206,,1000.0,HK0137031065,HKD
00138.HK,中建富通,中建富通集团有限公司,CCT Fortis Holdings Limited,ZJFT,主板,L,19911111,,2000.0,BMG1987Y1030,HKD
00139.HK,中达集团控股,中达集团控股有限公司,Central Wealth Group Holdings Limited,ZDJTKG,主板,L,19940315,,14000.0,BMG2118J1062,HKD
00141.HK,天禧海嘉控股,天禧海嘉控股集团有限公司,Sky Chinafortune Holdings Group Limited,TXHJKG,主板,L,19730307,,2000.0,HK0141000759,HKD
00142.HK,第一太平,第一太平有限公司,First Pacific Company Limited,DYTP,主板,L,19880912,,2000.0,BMG348041077,HKD
00143.HK,国安国际,国安国际有限公司,Guoan International Limited,GAGJ,主板,L,19990409,,2000.0,KYG4211E1098,HKD
00144.HK,招商局港口,招商局港口控股有限公司,China Merchants Port Holdings Company Limited,ZSJGK,主板,L,19920715,,2000.0,HK0144000764,HKD
00145.HK,香港建屋贷款,香港建屋贷款有限公司,The Hong Kong Building and Loan Agency Limited,XGJWDK,主板,L,19720701,,8000.0,HK0000134079,HKD
00146.HK,TAI PING CARPET,太平地毡国际有限公司,Tai Ping Carpets International Limited,TAIPINGCAR,主板,L,19731117,,1000.0,BMG8659F1068,HKD
00147.HK,国际商业结算,国际商业结算控股有限公司,International Business Settlement Holdings Limited,GJSYJS,主板,L,19880606,,5000.0,BMG4824K1045,HKD
00148.HK,建滔集团,建滔集团有限公司,Kingboard Holdings Limited,JTJT,主板,L,19931008,,500.0,KYG525621408,HKD
00149.HK,中国农产品交易,中国农产品交易有限公司,China Agri-Products Exchange Limited,ZGNCPJY,主板,L,19730312,,5000.0,BMG2150P2343,HKD
00150.HK,HYPEBEAST,Hypebeast Limited,Hypebeast Limited,HYPEBEAST,主板,L,20190308,,5000.0,KYG468321040,HKD
00151.HK,中国旺旺,中国旺旺控股有限公司,Want Want China Holdings Ltd.,ZGWW,主板,L,20080326,,1000.0,KYG9431R1039,HKD
00152.HK,深圳国际,深圳国际控股有限公司,Shenzhen International Holdings Ltd.,SZGJ,主板,L,19720925,,500.0,BMG8086V1467,HKD
00153.HK,中国赛特,中国赛特集团有限公司,China Saite Group Co. Ltd.,ZGST,主板,L,20131101,,2000.0,KYG2119L1005,HKD
00154.HK,北京控股环境集团,北京控股环境集团有限公司,Beijing Enterprises Environment Group Limited,BJKGHJJT,主板,L,19800429,,1000.0,HK0154000803,HKD
00155.HK,中国源畅,中国源畅光电能源控股有限公司,China Solar Energy Holdings Ltd.,ZGYC,主板,L,19880905,,10000.0,BMG2111R1705,HKD
00156.HK,力宝华润,力宝华润有限公司,Lippo China Resources Limited,LBHR,主板,L,19800124,,10000.0,HK0156000819,HKD
00157.HK,自然美,自然美生物科技有限公司,Natural Beauty Bio-Technology Limited,ZRM,主板,L,20020328,,10000.0,KYG640061027,HKD
00158.HK,万邦投资,万邦投资有限公司,Melbourne Enterprises Ltd.,WBTZ,主板,L,19720829,,500.0,HK0158000825,HKD
00159.HK,布莱克万矿业,布莱克万矿业有限公司,Brockman Mining Limited,BLKWKY,主板,L,19850705,,4000.0,BMG1739E1084,HKD
00160.HK,汉国置业,汉国置业有限公司,"Hon Kwok Land Investment Company, Limited",HGZY,主板,L,19720916,,2000.0,HK0160011786,HKD
00161.HK,中航国际控股,中航国际控股股份有限公司,AVIC International Holdings Limited,ZHGJKG,主板,L,19970929,20200417,2000.0,CNE1000002B4,HKD
00162.HK,世纪金花,世纪金花商业控股有限公司,Century Ginwa Retail Holdings Ltd.,SJJH,主板,L,20001023,,2000.0,BMG2021K1172,HKD
00163.HK,英皇国际,英皇集团(国际)有限公司,Emperor International Holdings Limited,YHGJ,主板,L,19721114,,2000.0,BMG3036C2239,HKD
00164.HK,中国宝力科技,中国宝力科技控股有限公司,China Baoli Technologies Holdings Limited,ZGBLKJ,主板,L,19730126,,5000.0,BMG2119D1166,HKD
00165.HK,中国光大控股,中国光大控股有限公司,China Everbright Ltd.,ZGGDKG,主板,L,19730226,,2000.0,HK0165000859,HKD
00166.HK,新时代能源,新时代能源有限公司,New Times Energy Corporation Limited,XSDNY,主板,L,19981013,,2000.0,BMG6488Q1454,HKD
00167.HK,IDT INT'L,万威国际有限公司,IDT International Ltd.,IDTINT'L,主板,L,19881021,,2000.0,BMG4705P1077,HKD
00168.HK,青岛啤酒股份,青岛啤酒股份有限公司,Tsingtao Brewery Company Limited,QDPJGF,主板,L,19930715,,2000.0,CNE1000004K1,HKD
00169.HK,万达酒店发展,万达酒店发展有限公司,Wanda Hotel Development Company Limited,WDJDFZ,主板,L,20020604,,1000.0,BMG9430N1039,HKD
00171.HK,银建国际,银建国际控股集团有限公司,Silver Grant International Holdings Group Limited,YJGJ,主板,L,19730223,,2000.0,HK0171000877,HKD
00172.HK,金榜集团,金榜集团控股有限公司,Goldbond Group Holdings Limited,JBJT,主板,L,19720901,,10000.0,HK0172012327,HKD
00173.HK,嘉华国际,嘉华国际集团有限公司,K. Wah International Holdings Ltd.,JHGJ,主板,L,19870206,,1000.0,BMG5321P1169,HKD
00174.HK,盛洋投资,盛洋投资(控股)有限公司,Gemini Investments (Holdings) Limited,SYTZ,主板,L,19881005,,2000.0,HK0174000890,HKD
00175.HK,吉利汽车,吉利汽车控股有限公司,Geely Automobile Holdings Limited,JLQC,主板,L,19730223,,1000.0,KYG3777B1032,HKD
00176.HK,先机企业集团,先机企业集团有限公司,Superactive Group Company Limited,XJQYJT,主板,L,19940428,,2000.0,BMG8587Y1021,HKD
00177.HK,江苏宁沪高速公路,江苏宁沪高速公路股份有限公司,Jiangsu Expressway Company Limited,JSNHGSGL,主板,L,19970627,,2000.0,CNE1000003J5,HKD
00178.HK,莎莎国际,莎莎国际控股有限公司,Sa Sa International Holdings Limited,SSGJ,主板,L,19970613,,2000.0,KYG7814S1021,HKD
00179.HK,德昌电机控股,德昌电机控股有限公司,Johnson Electric Holdings Ltd.,DCDJKG,主板,L,19840711,,500.0,BMG5150J1577,HKD
00180.HK,开达集团,开达集团有限公司,Kader Holdings Co. Ltd.,KDJT,主板,L,19850524,,2000.0,BMG5206W1038,HKD
00181.HK,闽港控股,闽港控股有限公司,Fujian Holdings Limited,MGKG,主板,L,19730222,,20000.0,HK0181013399,HKD
00182.HK,协合新能源,协合新能源集团有限公司,Concord New Energy Group Limited,XHXNY,主板,L,19911127,,10000.0,BMG2345T1099,HKD
00183.HK,宏辉集团,宏辉集团控股有限公司,Winfull Group Holdings Limited,HHJT,主板,L,20101202,,8000.0,KYG9704H1056,HKD
00184.HK,激成投资,激成投资(香港)有限公司,Keck Seng Investments (Hong Kong) Ltd.,JCTZ,主板,L,19730224,,2000.0,HK0184000948,HKD
00185.HK,正商实业,正商实业有限公司,Zensun Enterprises Limited,ZSSY,主板,L,19721220,,10000.0,HK0185013379,HKD
00186.HK,敏捷控股,敏捷控股有限公司,Nimble Holdings Company Limited,MJKG,主板,L,19870709,,30000.0,BMG652161065,HKD
00187.HK,京城机电股份,北京京城机电股份有限公司,Beijing Jingcheng Machinery Electric Company Limited,JCJDGF,主板,L,19930806,,2000.0,CNE100000270,HKD
00188.HK,新华汇富金融,新华汇富金融控股有限公司,Sunwah Kingsway Capital Holdings Ltd.,XHHFJR,主板,L,20000915,,10000.0,BMG8587P1014,HKD
00189.HK,东岳集团,东岳集团有限公司,Dongyue Group Limited,DYJT,主板,L,20071210,,1000.0,KYG2816P1072,HKD
00190.HK,香港建设(控股),香港建设(控股)有限公司,HKC (Holdings) Ltd.,XGJSKG,主板,L,19870529,,1000.0,BMG4516H1795,HKD
00191.HK,丽新国际,丽新制衣国际有限公司,Lai Sun Garment (International) Ltd.,LXGJ,主板,L,19871203,,1000.0,HK0000356805,HKD
00193.HK,冠中地产,冠中地产有限公司,Capital Estate Limited,GZDC,主板,L,19720911,,3000.0,HK0000489689,HKD
00194.HK,廖创兴企业,廖创兴企业有限公司,Liu Chong Hing Investment Ltd.,LCXQY,主板,L,19721113,,2000.0,HK0194000995,HKD
00195.HK,绿科科技国际,绿科科技国际有限公司,Greentech Technology International Limited,LKKJGJ,主板,L,20081112,,10000.0,KYG4100V1059,HKD
00196.HK,宏华集团,宏华集团有限公司,Honghua Group Limited,HHJT,主板,L,20080307,,1000.0,KYG4584R1092,HKD
00197.HK,亨泰,亨泰消费品集团有限公司,Heng Tai Consumables Group Limited,HT,主板,L,20011203,,5000.0,KYG440351149,HKD
00198.HK,星美控股,星美控股集团有限公司,SMI Holdings Group Limited,XMKG,主板,L,19730207,,4000.0,BMG8229F1150,HKD
00199.HK,德祥地产,德祥地产集团有限公司,ITC Properties Group Limited,DXDC,主板,L,19940318,,1000.0,BMG4984N1618,HKD
00200.HK,新濠国际发展,新濠国际发展有限公司,Melco International Development Limited,XHGJFZ,主板,L,19810813,,1000.0,HK0200030994,HKD
00201.HK,华大酒店,华大酒店投资有限公司,Magnificent Hotel Investments Limited,HDJD,主板,L,19721117,,2000.0,HK0201008726,HKD
