ts_code,name,fullname,enname,cn_spell,market,list_status,list_date,delist_date,trade_unit,isin,curr_type
02953.HK,中訊軟件,中訊軟件,,ZXRJ,主板,D,20060511,20060616,8000.0,,HKD
02953.HK,数字地球,数字地球,,SZDQ,主板,D,20010323,20010504,25.0,,HKD
02953.HK,高银金融,高银金融,,GYJR,主板,D,20150330,20150422,10000.0,,HKD
02953.HK,中国户外媒体集团,中国户外媒体集团,,ZGHWMTJT,主板,D,20131113,20131217,1000.0,,HKD
02953AE.HK,华艺矿业,华艺矿业,,HYKY,主板,D,20041230,20050203,2000.0,,HKD
02953AF.HK,深圳控股,深圳控股,,SZKG,主板,D,20020731,20020904,4000.0,,HKD
02953AG.HK,永义实业,永义实业,,YYSY,主板,D,20091014,20091203,200.0,,HKD
02953AH.HK,华益控股(旧),华益控股(旧),,HYKGJ,主板,D,19991102,19991208,20000.0,,HKD
02953AI.HK,合一投资,合一投资,,HYTZ,主板,D,20101202,20110106,500.0,,HKD
02953AJ.HK,中国天然气,中国天然气,,ZGTRQ,主板,D,20150810,20150914,25000.0,,HKD
02953AK.HK,寰宇国际,寰宇国际,,HYGJ,主板,D,20160318,20160426,1500.0,未有提供,HKD
02953AL.HK,東聯控股,東聯控股,,DLKG,主板,D,20030710,20030814,200.0,,HKD
02953AM.HK,李氏大药厂,李氏大药厂,,LSDYC,主板,D,20140925,20141017,5000.0,,HKD
02953AN.HK,蒙古投资,蒙古投资,,MGTZ,主板,D,20121120,20121224,400.0,,HKD
02953AO.HK,科劲国际（四千）,科劲国际（四千）,,KJGJSQ,主板,D,20170410,20170504,4000.0,KYG5258R1193,HKD
02954.HK,英皇国际,英皇国际,,YHGJ,主板,D,20050104,20050208,10000.0,,HKD
02954.HK,STYLAND HOLD,STYLAND HOLD,,STYLANDHOL,主板,D,20020731,20020904,2500.0,,HKD
02954.HK,中策集團,中策集團,,ZCJT,主板,D,20060519,20060626,1250.0,,HKD
02954.HK,威利国际,威利国际,,WLGJ,主板,D,20080805,20080908,2000.0,HK0000048097,HKD
02954AE.HK,中国网络,中国网络,,ZGWL,主板,D,20030715,20030819,400.0,,HKD
02954AF.HK,冠华国际,冠华国际,,GHGJ,主板,D,19991109,19991215,200.0,,HKD
02954AG.HK,水务地产集团,水务地产集团,,SWDCJT,主板,D,20110919,20111024,400.0,,HKD
02954AH.HK,新奥能源（二千）,新奥能源（二千）,,XANYEQ,主板,D,20170413,20170509,2000.0,KYG3066L1196,HKD
02954AI.HK,协同通信,协同通信,,XTTX,主板,D,20160324,20160503,1600.0,KYG8650N1245,HKD
02954AJ.HK,威雅利,威雅利,,WYL,主板,D,20150817,20150921,1000.0,,HKD
02954AK.HK,枫叶教育,枫叶教育,,FYJY,主板,D,20180709,20180810,4000.0,,HKD
02954AL.HK,兆邦基地产(旧),兆邦基地产(旧),,ZBJDCJ,主板,D,20191017,20191120,40000.0,,HKD
02955.HK,GLOBAL TECH RTS,GLOBAL TECH RTS,,GLOBALTECH,主板,D,20170418,20170425,2000.0,KYG3932J1655,HKD
02955.HK,德发集团,德发集团,,DFJT,主板,D,20110923,20111014,20000.0,,HKD
02955.HK,招商迪辰,招商迪辰,,ZSDC,主板,D,20060523,20060628,200.0,,HKD
02955.HK,英皇(中国),英皇(中国),,YHZG,主板,D,20050104,20050208,50000.0,,HKD
02955AE.HK,侨威集团,侨威集团,,QWJT,主板,D,20150331,20150423,2000.0,,HKD
02955AF.HK,中播控股股权,中播控股股权,,ZBKGGQ,主板,D,20160329,20160406,20000.0,,HKD
02955AG.HK,惠泰国际,惠泰国际,,HTGJ,主板,D,20010403,20010515,1000.0,,HKD
02955AH.HK,德普科技,德普科技,,DPKJ,主板,D,20150818,20150922,8000.0,,HKD
02955AI.HK,南亚矿业,南亚矿业,,NYKY,主板,D,20091019,20091123,8000.0,,HKD
02955AJ.HK,虎都(旧),虎都(旧),,HDJ,主板,D,20191017,20191120,4000.0,KYG211271245,HKD
02955AK.HK,创建集团（一万）,创建集团（一万）,,CJJTYW,主板,D,20180712,20180801,10000.0,,HKD
02956.HK,盈信控股,盈信控股,,YXKG,主板,D,20020806,20020910,8000.0,,HKD
02956.HK,ASIA COMM H-OLD,ASIA COMM H-OLD,,ASIACOMMHO,主板,D,20180713,20180816,2500.0,BMG0532V2181,HKD
02956.HK,中车时代电气五百,中车时代电气五百,,ZCSDDQWB,主板,D,20170421,20170515,500.0,KYG2116D1271,HKD
02956.HK,英皇(中国)股权,英皇(中国)股权,,YHZGGQ,主板,D,20050105,20050113,5000.0,,HKD
02956AE.HK,永興國際,永興國際,,YXGJ,主板,D,20060523,20060628,200.0,,HKD
02956AF.HK,中国环保能源,中国环保能源,,ZGHBNY,主板,D,20141003,20141106,200.0,,HKD
02956AG.HK,中国水业集团,中国水业集团,,ZGSYJT,主板,D,20110927,20111101,400.0,,HKD
02956AH.HK,奇峰国际,奇峰国际,,QFGJ,主板,D,20091023,20091127,1000.0,,HKD
02956AI.HK,金丰21,金丰21,,JF21,主板,D,20070817,20070921,20000.0,,HKD
02956AJ.HK,德泰中华投资,德泰中华投资,,DTZHTZ,主板,D,20080818,20080922,50000.0,KYG816BC1453,HKD
02956AK.HK,华荣能源,华荣能源,,HRNY,主板,D,20160329,20160504,100.0,KYG2116D1271,HKD
02956AL.HK,中科生物(旧),中科生物(旧),,ZKSWJ,主板,D,20191022,20191125,2000.0,KYG2163H1204,HKD
02957.HK,中国星集团股权,中国星集团股权,,ZGXJTGQ,主板,D,20180716,20180723,10000.0,BMG8437G3351,HKD
02957.HK,中国天化工,中国天化工,,ZGTHG,主板,D,20170515,20170619,2500.0,BMG215AW1212,HKD
02957.HK,华脉无线通信,华脉无线通信,,HMWXTX,主板,D,20080828,20081003,4000.0,,HKD
02957.HK,中海重工(旧),中海重工(旧),,ZHZGJ,主板,D,20191029,20191202,125.0,BMG2113Q1399,HKD
02957AE.HK,南峰集團,南峰集團,,NFJT,主板,D,20060606,20060711,2000.0,,HKD
02957AF.HK,新确科技,新确科技,,XQKJ,主板,D,20131219,20140127,200000.0,,HKD
02957AG.HK,康哲药业,康哲药业,,KZYY,主板,D,20110930,20111021,800.0,,HKD
02957AH.HK,华夏健康产业,华夏健康产业,,HXJKCY,主板,D,20160401,20160509,20000.0,KYG2119R1157,HKD
02958.HK,联合地产（香港）,联合地产（香港）,,LHDCXG,主板,D,20070821,20070925,20000.0,,HKD
02958.HK,卓能(集团),卓能(集团),,ZNJT,主板,D,20060609,20060630,2000.0,,HKD
